condition,approach,n_current,reliability_current,participants,reliability_projected
overall,approach_1_mixed_icc,2474,0.9175971005893503,1440,0.8663361142429481
overall,approach_1_mixed_icc,2474,0.9175971005893503,1680,0.8832006908489749
overall,approach_1_mixed_icc,2474,0.9175971005893503,1920,0.8962863948134338
overall,approach_1_mixed_icc,2474,0.9175971005893503,2160,0.9067353719664136
overall,approach_2_gmeanrel,2474,0.8790439941276366,1440,0.808797406246161
overall,approach_2_gmeanrel,2474,0.8790439941276366,1680,0.831509810899849
overall,approach_2_gmeanrel,2474,0.8790439941276366,1920,0.8493992407365012
overall,approach_2_gmeanrel,2474,0.8790439941276366,2160,0.8638544785546686
overall,approach_3_split_half,2474,0.8746613374226323,1440,0.8024415034226489
overall,approach_3_split_half,2474,0.8746613374226323,1680,0.8257462443642185
overall,approach_3_split_half,2474,0.8746613374226323,1920,0.8441329106053109
overall,approach_3_split_half,2474,0.8746613374226323,2160,0.8590097268142288
words_only,approach_1_mixed_icc,2474,0.8322379728757551,1440,0.7427629267944903
words_only,approach_1_mixed_icc,2474,0.8322379728757551,1680,0.7710994059868568
words_only,approach_1_mixed_icc,2474,0.8322379728757551,1920,0.7938124228783399
words_only,approach_1_mixed_icc,2474,0.8322379728757551,2160,0.8124248576553813
words_only,approach_2_gmeanrel,2474,0.8687762999049352,1440,0.7939642942534714
words_only,approach_2_gmeanrel,2474,0.8687762999049352,1680,0.8180422826883568
words_only,approach_2_gmeanrel,2474,0.8687762999049352,1920,0.8370814616848657
words_only,approach_2_gmeanrel,2474,0.8687762999049352,2160,0.8525137159624441
words_only,approach_3_split_half,2474,0.859165714692001,1440,0.7802604411393917
words_only,approach_3_split_half,2474,0.859165714692001,1680,0.8055476829232107
words_only,approach_3_split_half,2474,0.859165714692001,1920,0.8256155397634104
words_only,approach_3_split_half,2474,0.859165714692001,2160,0.8419287951523307
pseudo_only,approach_1_mixed_icc,2474,0.819637694278792,1440,0.7256576580467571
pseudo_only,approach_1_mixed_icc,2474,0.819637694278792,1680,0.7552575323618985
pseudo_only,approach_1_mixed_icc,2474,0.819637694278792,1920,0.7790921492525925
pseudo_only,approach_1_mixed_icc,2474,0.819637694278792,2160,0.7986964055127596
pseudo_only,approach_2_gmeanrel,2474,0.8457538526311144,1440,0.7614209245488897
pseudo_only,approach_2_gmeanrel,2474,0.8457538526311144,1680,0.788287925174224
pseudo_only,approach_2_gmeanrel,2474,0.8457538526311144,1920,0.809716263957039
pseudo_only,approach_2_gmeanrel,2474,0.8457538526311144,2160,0.8272055713562864
pseudo_only,approach_3_split_half,2474,0.8385945686457712,1440,0.7514974653018112
pseudo_only,approach_3_split_half,2474,0.8385945686457712,1680,0.7791578511505106
pseudo_only,approach_3_split_half,2474,0.8385945686457712,1920,0.8012773269901197
pseudo_only,approach_3_split_half,2474,0.8385945686457712,2160,0.8193692432342977
